id,gender,age,type,purpose
120,Male,40,Returning,Business
121,Female,38,Returning,Personal
122,Male,17,Returning,Personal
123,Female,33,Returning,Personal
124,Female,7,Returning,Personal
125,Male,21,Returning,Personal
126,Male,66,Returning,Personal
127,Female,68,Returning,Personal
128,Male,65,Returning,Personal
129,Male,67,Returning,Personal
130,Female,39,Returning,Business
131,Female,28,First-time,Business
132,Male,59,First-time,Business
133,Female,26,First-time,Business
134,Female,33,Returning,Business
135,Male,56,First-time,Business
136,Female,43,Returning,Business
137,Female,45,Returning,Business
138,Male,45,Returning,Business
139,Female,69,Returning,Business
140,Male,31,Returning,Business
141,Female,55,Returning,Business
142,Male,58,Returning,Business
143,Female,39,Returning,Business
144,Female,41,Returning,Business
145,Male,16,Returning,Business
146,Male,60,Returning,Business
147,Female,47,Returning,Business
148,Female,54,Returning,Business
149,Male,37,Returning,Business
150,Male,21,First-time,Business
151,Male,36,Returning,Business
152,Female,51,Returning,Business
153,Female,35,Returning,Business
154,Female,41,Returning,Business
155,Female,17,First-time,Business
156,Female,49,First-time,Business
157,Male,60,Returning,Business
158,Male,22,First-time,Business
159,Female,46,Returning,Business
160,Female,42,Returning,Personal
161,Male,20,Returning,Personal
162,Male,14,Returning,Personal
163,Female,64,Returning,Personal
164,Male,12,Returning,Personal
165,Male,29,Returning,Personal
166,Female,44,Returning,Personal
167,Female,66,Returning,Personal
168,Male,37,Returning,Personal
169,Male,35,Returning,Personal
170,Female,36,Returning,Personal
171,Female,49,Returning,Business
172,Male,37,Returning,Business
173,Female,57,Returning,Business
174,Female,39,Returning,Business
175,Male,36,First-time,Business
176,Female,56,Returning,Personal
177,Female,10,Returning,Personal
178,Male,28,Returning,Personal
179,Female,36,Returning,Business
180,Male,56,Returning,Business
181,Female,56,Returning,Business
182,Male,44,Returning,Business
183,Male,26,First-time,Business
184,Male,44,Returning,Business
185,Male,49,Returning,Business
186,Male,42,Returning,Business
187,Male,36,First-time,Business
188,Male,20,First-time,Business
189,Female,42,Returning,Business
190,Male,44,Returning,Business
191,Male,35,First-time,Business
192,Male,52,Returning,Business
193,Female,50,Returning,Business
194,Female,46,Returning,Business
195,Male,36,Returning,Business
196,Male,23,First-time,Business
197,Male,56,Returning,Business
198,Male,57,First-time,Business
199,Female,60,Returning,Business
200,Female,43,Returning,Business
201,Female,43,Returning,Business
202,Male,38,First-time,Business
203,Female,27,First-time,Business
204,Female,71,Returning,Business
205,Male,59,Returning,Business
206,Male,53,Returning,Business
207,Female,40,Returning,Business
208,Female,49,First-time,Business
209,Female,69,Returning,Business
210,Female,27,First-time,Business
211,Male,22,First-time,Business
212,Female,30,Returning,Business
213,Male,16,Returning,Business
214,Male,38,First-time,Business
215,Male,34,Returning,Personal
216,Female,35,Returning,Personal
217,Male,48,Returning,Personal
218,Male,17,Returning,Personal
219,Male,31,Returning,Personal
220,Male,31,Returning,Personal
221,Female,36,Returning,Personal
222,Female,44,Returning,Personal
223,Female,16,Returning,Personal
224,Male,35,Returning,Personal
225,Male,29,Returning,Personal
226,Male,66,Returning,Personal
227,Female,56,Returning,Personal
228,Female,17,Returning,Personal
229,Female,33,Returning,Business
230,Female,44,First-time,Business
231,Female,47,Returning,Business
232,Female,57,Returning,Business
233,Female,38,First-time,Business
234,Male,47,Returning,Business
235,Female,16,Returning,Personal
236,Male,35,Returning,Business
237,Male,7,Returning,Personal
238,Female,39,Returning,Business
239,Male,44,Returning,Business
240,Female,49,Returning,Business
241,Male,22,Returning,Business
242,Male,38,First-time,Business
243,Male,22,First-time,Business
244,Male,30,First-time,Business
245,Female,29,Returning,Business
246,Male,50,Returning,Business
247,Male,11,Returning,Business
248,Male,23,Returning,Business
249,Male,20,First-time,Business
250,Female,70,Returning,Personal
251,Male,66,First-time,Personal
252,Female,50,Returning,Personal
253,Male,39,Returning,Personal
254,Male,18,Returning,Personal
255,Male,26,Returning,Business
256,Male,22,First-time,Business
257,Male,58,Returning,Business
258,Male,48,Returning,Business
259,Female,55,Returning,Business
260,Male,62,Returning,Business
261,Female,61,Returning,Personal
262,Male,63,Returning,Personal
263,Male,43,Returning,Personal
264,Female,43,Returning,Business
265,Female,49,Returning,Business
266,Male,44,Returning,Business
267,Female,40,Returning,Business
268,Male,20,First-time,Business
269,Female,55,Returning,Business
270,Female,59,Returning,Business
271,Male,35,First-time,Business
272,Male,43,Returning,Business
273,Male,53,Returning,Business
274,Female,27,First-time,Business
275,Female,29,Returning,Business
276,Female,43,First-time,Business
277,Male,40,Returning,Business
278,Female,16,Returning,Personal
279,Female,23,Returning,Personal
280,Male,44,Returning,Personal
281,Male,51,Returning,Personal
282,Male,25,Returning,Personal
283,Male,40,First-time,Business
284,Female,17,First-time,Business
285,Female,45,Returning,Business
286,Female,41,Returning,Business
287,Male,55,Returning,Business
288,Female,42,Returning,Personal
289,Male,51,Returning,Personal
290,Male,39,First-time,Business
291,Male,54,Returning,Business
292,Female,21,First-time,Business
293,Male,52,Returning,Business
294,Male,17,Returning,Personal
295,Female,54,Returning,Personal
296,Female,47,Returning,Business
297,Female,55,Returning,Business
298,Male,52,First-time,Business
299,Male,41,Returning,Business
300,Female,24,First-time,Business
301,Male,40,Returning,Business
302,Male,52,Returning,Business
303,Male,51,Returning,Business
304,Female,43,Returning,Business
305,Male,56,Returning,Business
306,Male,26,First-time,Business
307,Female,31,Returning,Business
308,Female,56,Returning,Business
309,Male,53,Returning,Business
310,Female,60,Returning,Business
311,Male,26,First-time,Business
312,Male,22,Returning,Business
313,Male,30,First-time,Business
314,Female,59,Returning,Business
315,Female,25,Returning,Business
316,Female,44,Returning,Business
317,Female,25,First-time,Business
318,Female,29,First-time,Business
319,Female,60,Returning,Business
320,Female,21,First-time,Business
321,Male,42,Returning,Business
322,Male,49,Returning,Business
323,Male,59,Returning,Business
324,Male,21,First-time,Business
325,Female,25,First-time,Business
326,Female,31,Returning,Business
327,Female,39,Returning,Business
328,Male,56,Returning,Business
329,Male,47,Returning,Business
330,Male,46,Returning,Business
331,Male,51,Returning,Business
332,Male,44,Returning,Business
333,Female,37,First-time,Business
334,Male,26,First-time,Business
335,Female,56,Returning,Business
336,Female,40,Returning,Business
337,Male,37,Returning,Personal
338,Female,57,Returning,Personal
339,Female,22,Returning,Personal
340,Male,16,Returning,Personal
341,Female,35,Returning,Personal
342,Male,27,Returning,Personal
343,Female,58,Returning,Personal
344,Male,8,Returning,Personal
345,Male,9,Returning,Personal
346,Male,68,Returning,Personal
347,Female,30,Returning,Personal
348,Male,56,Returning,Personal
349,Female,33,Returning,Personal
350,Female,25,Returning,Business
351,Male,57,Returning,Business
352,Female,7,Returning,Personal
353,Female,37,Returning,Personal
354,Female,51,Returning,Personal
355,Male,16,Returning,Personal
356,Male,50,Returning,Business
357,Female,43,Returning,Business
358,Female,39,First-time,Business
359,Male,55,Returning,Business
360,Male,27,First-time,Business
361,Male,40,Returning,Business
362,Male,24,First-time,Business
363,Female,39,Returning,Business
364,Female,33,First-time,Business
365,Female,42,Returning,Business
366,Female,35,Returning,Business
367,Male,26,First-time,Business
368,Female,46,Returning,Business
369,Female,53,Returning,Business
370,Male,49,Returning,Business
371,Male,50,Returning,Business
372,Male,50,Returning,Business
373,Male,43,Returning,Business
374,Female,39,Returning,Business
375,Male,53,Returning,Business
376,Male,54,Returning,Business
377,Female,54,Returning,Business
378,Male,41,First-time,Business
379,Female,42,Returning,Business
380,Male,45,Returning,Business
381,Female,56,Returning,Business
382,Female,46,Returning,Business
383,Female,58,Returning,Business
384,Male,43,Returning,Business
385,Female,45,Returning,Business
386,Female,58,Returning,Business
387,Female,54,Returning,Business
388,Male,69,Returning,Business
389,Female,27,First-time,Business
390,Male,58,Returning,Business
391,Female,52,Returning,Business
392,Male,52,Returning,Business
393,Male,49,Returning,Business
394,Female,35,Returning,Business
395,Female,54,Returning,Business
396,Male,35,Returning,Business
397,Female,26,First-time,Business
398,Male,52,Returning,Business
399,Male,38,First-time,Business
400,Male,23,First-time,Business
401,Female,36,Returning,Business
402,Male,42,Returning,Business
403,Female,39,Returning,Business
404,Male,39,Returning,Business
405,Male,59,Returning,Business
406,Male,36,First-time,Business
407,Female,32,Returning,Business
408,Female,47,Returning,Business
409,Male,48,Returning,Business
410,Male,57,Returning,Business
411,Female,49,Returning,Business
412,Male,58,Returning,Business
413,Male,53,Returning,Business
414,Male,51,Returning,Business
415,Female,38,First-time,Business
416,Female,44,Returning,Business
417,Female,36,Returning,Business
418,Female,48,Returning,Business
419,Male,58,Returning,Business
420,Male,36,Returning,Business
421,Female,25,First-time,Business
422,Male,42,Returning,Business
423,Female,30,First-time,Business
424,Female,51,Returning,Business
425,Male,59,Returning,Business
426,Female,39,Returning,Business
427,Female,35,First-time,Business
428,Female,40,Returning,Business
429,Female,52,Returning,Personal
430,Female,24,Returning,Personal
431,Male,47,Returning,Personal
432,Female,46,Returning,Personal
433,Male,63,Returning,Personal
434,Female,27,Returning,Personal
435,Male,53,Returning,Personal
436,Female,60,Returning,Personal
437,Male,46,Returning,Personal
438,Female,63,Returning,Personal
439,Female,57,Returning,Personal
440,Female,66,Returning,Personal
441,Male,31,Returning,Personal
442,Female,14,Returning,Personal
443,Male,35,Returning,Personal
444,Male,48,Returning,Personal
445,Female,41,Returning,Business
446,Male,46,Returning,Business
447,Female,51,Returning,Business
448,Male,48,Returning,Business
449,Male,42,First-time,Business
450,Female,32,Returning,Business
451,Female,27,First-time,Business
452,Female,39,Returning,Business
453,Male,55,Returning,Business
454,Male,59,Returning,Business
455,Male,47,Returning,Business
456,Female,34,Returning,Business
457,Female,48,Returning,Business
458,Male,43,Returning,Business
459,Male,59,Returning,Business
460,Female,38,Returning,Business
461,Male,41,Returning,Business
462,Female,53,Returning,Business
463,Female,44,Returning,Business
464,Female,26,Returning,Business
465,Female,30,Returning,Business
466,Female,48,Returning,Business
467,Female,47,Returning,Business
468,Female,51,Returning,Business
469,Male,48,Returning,Business
470,Male,43,Returning,Business
471,Female,56,Returning,Business
472,Male,40,First-time,Business
473,Male,57,Returning,Business
474,Female,39,Returning,Business
475,Female,59,Returning,Business
476,Female,62,Returning,Business
477,Male,57,Returning,Business
478,Female,43,Returning,Business
479,Male,28,First-time,Business
480,Female,37,First-time,Business
481,Male,55,Returning,Business
482,Female,30,Returning,Business
483,Female,34,Returning,Business
484,Male,45,Returning,Business
485,Male,39,Returning,Business
486,Male,48,Returning,Business
487,Male,23,First-time,Business
488,Male,48,Returning,Business
489,Male,20,First-time,Business
490,Female,51,Returning,Business
491,Female,57,Returning,Business
492,Male,57,Returning,Business
493,Male,59,Returning,Business
494,Female,32,First-time,Business
495,Female,59,Returning,Business
496,Female,34,Returning,Business
497,Female,41,Returning,Business
498,Female,49,Returning,Business
499,Female,57,Returning,Business
500,Male,48,Returning,Business
501,Female,38,Returning,Business
502,Male,41,Returning,Business
503,Male,38,Returning,Business
504,Male,39,Returning,Business
505,Male,52,Returning,Business
506,Male,50,Returning,Business
507,Female,36,Returning,Business
508,Female,38,Returning,Business
509,Female,57,Returning,Business
510,Female,52,Returning,Business
511,Female,40,Returning,Business
512,Male,36,First-time,Business
513,Male,56,Returning,Business
514,Male,41,Returning,Business
515,Male,21,First-time,Business
516,Male,57,Returning,Business
517,Male,50,Returning,Business
518,Female,15,First-time,Business
519,Female,34,Returning,Business
520,Female,50,Returning,Business
521,Female,59,First-time,Business
522,Female,39,Returning,Business
523,Female,48,Returning,Business
524,Female,50,Returning,Business
525,Female,30,Returning,Business
526,Female,55,Returning,Business
527,Male,38,First-time,Business
528,Female,49,Returning,Business
529,Male,54,Returning,Business
530,Female,54,Returning,Business
531,Male,52,Returning,Business
532,Male,51,Returning,Business
533,Female,38,First-time,Business
534,Male,32,First-time,Business
535,Female,42,Returning,Business
536,Female,51,Returning,Business
537,Male,23,First-time,Business
538,Female,39,Returning,Business
539,Female,46,Returning,Business
540,Male,57,Returning,Business
541,Male,54,Returning,Business
542,Male,34,First-time,Business
543,Male,53,Returning,Business
544,Male,30,Returning,Business
545,Male,39,Returning,Business
546,Female,59,First-time,Business
547,Male,50,Returning,Business
548,Female,55,First-time,Business
549,Male,32,Returning,Business
550,Female,40,Returning,Business
551,Female,44,Returning,Business
552,Female,60,Returning,Business
553,Female,57,Returning,Business
554,Female,39,Returning,Business
555,Male,31,Returning,Business
556,Male,39,Returning,Business
557,Female,31,Returning,Business
558,Male,42,Returning,Business
559,Female,51,Returning,Business
560,Female,32,Returning,Business
561,Male,23,First-time,Business
562,Female,59,First-time,Business
563,Female,29,Returning,Business
564,Male,49,Returning,Business
565,Male,62,Returning,Business
566,Female,52,Returning,Business
567,Male,57,Returning,Business
568,Male,40,Returning,Business
569,Female,47,Returning,Business
570,Male,40,First-time,Business
571,Male,46,Returning,Business
572,Male,64,First-time,Business
573,Female,27,Returning,Business
574,Male,25,First-time,Business
575,Female,54,Returning,Business
576,Female,68,First-time,Business
577,Female,48,Returning,Business
578,Male,37,Returning,Business
579,Male,56,Returning,Business
580,Male,46,Returning,Business
581,Male,25,First-time,Business
582,Female,33,First-time,Business
583,Female,58,Returning,Business
584,Male,25,First-time,Business
585,Male,46,Returning,Business
586,Female,50,Returning,Business
587,Female,66,Returning,Business
588,Female,40,Returning,Business
589,Male,50,Returning,Business
590,Female,56,Returning,Business
591,Female,56,Returning,Business
592,Male,55,First-time,Business
593,Female,50,Returning,Business
594,Male,42,Returning,Business
595,Male,44,Returning,Business
596,Female,44,Returning,Business
597,Female,46,Returning,Business
598,Male,56,Returning,Business
599,Female,39,Returning,Business
600,Female,56,Returning,Business
601,Female,57,Returning,Business
602,Female,58,Returning,Business
603,Female,24,First-time,Business
604,Male,47,Returning,Business
605,Female,39,Returning,Business
606,Male,46,Returning,Business
607,Female,27,First-time,Business
608,Female,30,Returning,Business
609,Male,50,Returning,Business
610,Male,23,Returning,Business
611,Male,56,Returning,Business
612,Female,48,Returning,Business
613,Male,55,Returning,Business
614,Male,40,First-time,Business
615,Female,39,Returning,Business
616,Male,27,First-time,Business
617,Female,54,Returning,Business
618,Male,27,First-time,Business
619,Male,43,Returning,Business
620,Male,58,Returning,Business
621,Male,28,Returning,Business
622,Male,43,Returning,Business
623,Male,39,First-time,Business
624,Female,39,Returning,Business
625,Male,46,Returning,Business
626,Male,51,Returning,Business
627,Male,45,Returning,Business
628,Male,42,Returning,Business
629,Male,35,First-time,Business
630,Male,40,Returning,Business
631,Female,42,Returning,Business
632,Female,47,Returning,Business
633,Female,53,Returning,Business
634,Female,39,Returning,Business
635,Male,55,First-time,Business
636,Female,57,Returning,Business
637,Male,23,First-time,Business
638,Female,40,Returning,Business
639,Male,39,Returning,Business
640,Male,40,Returning,Business
641,Male,58,Returning,Business
642,Female,52,Returning,Business
643,Female,60,Returning,Business
644,Female,49,Returning,Business
645,Male,58,Returning,Business
646,Male,52,Returning,Business
647,Female,37,Returning,Business
648,Male,21,First-time,Business
649,Male,37,First-time,Business
650,Male,58,Returning,Business
651,Male,54,Returning,Business
652,Female,23,First-time,Business
653,Male,27,First-time,Business
654,Female,30,Returning,Business
655,Male,47,Returning,Business
656,Male,39,First-time,Business
657,Female,58,Returning,Business
658,Male,48,Returning,Business
659,Male,49,Returning,Business
660,Male,57,Returning,Business
661,Female,53,Returning,Business
662,Female,48,Returning,Business
663,Female,45,Returning,Business
664,Male,58,Returning,Business
665,Female,41,Returning,Business
666,Female,26,First-time,Business
667,Female,54,Returning,Business
668,Female,46,Returning,Business
669,Male,40,Returning,Business
670,Female,50,First-time,Business
671,Female,21,First-time,Business
672,Male,44,Returning,Business
673,Female,39,Returning,Business
674,Female,41,Returning,Business
675,Female,46,Returning,Business
676,Female,52,Returning,Business
677,Female,24,First-time,Business
678,Female,54,Returning,Business
679,Male,42,Returning,Business
680,Male,46,Returning,Business
681,Female,48,Returning,Business
682,Female,27,First-time,Business
683,Male,42,Returning,Business
684,Male,32,Returning,Business
685,Male,54,Returning,Business
686,Male,34,First-time,Business
687,Male,32,Returning,Business
688,Female,42,Returning,Business
689,Female,43,Returning,Business
690,Female,59,Returning,Business
691,Male,37,First-time,Business
692,Male,26,First-time,Business
693,Female,40,Returning,Business
694,Female,39,Returning,Business
695,Male,20,First-time,Business
696,Male,22,First-time,Business
697,Male,43,Returning,Business
698,Male,18,Returning,Business
699,Female,46,Returning,Business
700,Female,61,Returning,Business
701,Male,18,First-time,Business
702,Female,34,Returning,Business
703,Male,50,First-time,Business
704,Male,55,Returning,Business
705,Female,42,Returning,Business
706,Male,45,Returning,Business
707,Male,55,First-time,Business
708,Male,38,Returning,Business
709,Female,50,Returning,Business
710,Female,40,Returning,Business
711,Male,36,Returning,Business
712,Female,52,Returning,Business
713,Male,54,Returning,Business
714,Female,37,First-time,Business
715,Male,35,Returning,Business
716,Female,37,First-time,Business
717,Female,44,Returning,Business
718,Female,47,First-time,Business
719,Female,27,First-time,Business
720,Female,51,Returning,Business
721,Female,44,First-time,Business
722,Female,58,Returning,Business
723,Female,50,First-time,Business
724,Male,45,Returning,Business
725,Male,21,First-time,Business
726,Male,56,Returning,Business
727,Female,54,Returning,Business
728,Male,16,First-time,Business
729,Female,37,First-time,Business
730,Female,41,Returning,Business
731,Female,22,First-time,Business
732,Female,55,Returning,Business
733,Female,57,Returning,Business
734,Female,39,First-time,Business
735,Female,59,Returning,Business
736,Male,56,First-time,Business
737,Female,46,Returning,Business
738,Male,44,Returning,Business
739,Female,39,First-time,Business
740,Male,32,Returning,Business
741,Male,39,First-time,Business
742,Female,46,Returning,Business
743,Female,52,Returning,Business
744,Female,43,Returning,Business
745,Female,58,Returning,Business
746,Male,44,Returning,Business
747,Male,58,Returning,Business
748,Male,54,Returning,Business
749,Male,58,Returning,Business
750,Male,55,Returning,Business
751,Female,21,First-time,Business
752,Female,47,Returning,Business
753,Female,57,Returning,Business
754,Male,56,Returning,Business
755,Female,50,Returning,Business
756,Female,44,Returning,Business
757,Female,38,First-time,Business
758,Female,20,First-time,Business
759,Female,24,First-time,Business
760,Female,37,First-time,Business
761,Male,48,Returning,Business
762,Female,37,Returning,Business
763,Female,40,Returning,Business
764,Male,43,Returning,Business
765,Male,59,Returning,Business
766,Female,60,Returning,Business
767,Female,46,Returning,Business
768,Female,52,Returning,Business
769,Male,49,Returning,Business
770,Male,60,Returning,Business
771,Male,44,Returning,Business
772,Female,73,Returning,Business
773,Male,54,Returning,Business
774,Female,56,Returning,Business
775,Female,56,Returning,Business
776,Male,55,Returning,Business
777,Female,50,Returning,Business
778,Male,42,Returning,Business
779,Male,42,Returning,Business
780,Male,60,Returning,Business
781,Male,37,Returning,Business
782,Male,39,First-time,Business
783,Female,44,Returning,Business
784,Male,24,First-time,Business
785,Male,40,First-time,Business
786,Male,22,First-time,Business
787,Female,56,Returning,Business
788,Female,30,First-time,Business
789,Female,40,Returning,Business
790,Female,47,Returning,Business
791,Female,17,First-time,Business
792,Female,41,Returning,Business
793,Female,49,Returning,Business
794,Female,22,First-time,Business
795,Female,44,First-time,Business
796,Female,37,First-time,Business
797,Male,27,First-time,Business
798,Female,48,First-time,Business
799,Male,55,Returning,Business
800,Male,25,First-time,Business
801,Female,55,Returning,Business
802,Male,47,Returning,Business
803,Female,42,Returning,Business
804,Male,44,First-time,Business
805,Male,42,Returning,Business
806,Male,42,Returning,Business
807,Female,58,First-time,Business
808,Female,50,Returning,Business
809,Male,57,Returning,Business
810,Male,26,First-time,Business
811,Female,42,Returning,Business
812,Female,22,First-time,Business
813,Male,37,First-time,Business
814,Male,30,Returning,Business
815,Male,40,Returning,Business
816,Female,48,Returning,Business
817,Male,51,Returning,Business
818,Female,37,Returning,Business
819,Female,43,Returning,Business
820,Male,41,First-time,Business
821,Female,52,Returning,Business
822,Male,47,Returning,Business
823,Male,60,Returning,Business
824,Female,54,Returning,Business
825,Female,53,Returning,Business
826,Male,47,Returning,Business
827,Male,43,Returning,Business
828,Female,61,Returning,Business
829,Female,57,Returning,Business
830,Female,27,First-time,Business
831,Female,25,First-time,Business
832,Female,38,Returning,Business
833,Male,47,Returning,Business
834,Female,20,First-time,Business
835,Male,34,Returning,Business
836,Male,39,Returning,Business
837,Female,43,Returning,Business
838,Female,35,First-time,Business
839,Female,45,Returning,Business
840,Female,51,Returning,Business
841,Female,58,Returning,Business
842,Male,52,Returning,Business
843,Female,23,Returning,Business
844,Male,52,Returning,Business
845,Male,46,Returning,Business
846,Female,39,Returning,Business
847,Male,48,Returning,Business
848,Male,63,Returning,Business
849,Female,38,Returning,Business
850,Female,54,Returning,Business
851,Male,39,Returning,Business
852,Male,49,Returning,Business
853,Male,17,First-time,Business
854,Female,18,First-time,Business
855,Male,45,Returning,Business
856,Female,58,Returning,Business
857,Male,49,Returning,Business
858,Male,40,Returning,Business
859,Female,50,Returning,Business
860,Female,56,Returning,Business
861,Male,20,First-time,Business
862,Male,55,Returning,Business
863,Female,36,First-time,Business
864,Female,39,First-time,Business
865,Male,42,Returning,Business
866,Male,44,Returning,Business
867,Female,45,Returning,Business
868,Male,57,Returning,Business
869,Male,23,First-time,Business
870,Male,44,Returning,Business
871,Male,25,Returning,Business
872,Male,43,Returning,Business
873,Female,35,Returning,Business
874,Male,20,First-time,Business
875,Female,31,Returning,Business
876,Female,20,First-time,Business
877,Female,27,First-time,Business
878,Female,37,First-time,Business
879,Female,80,Returning,Business
880,Male,43,Returning,Business
881,Male,59,First-time,Business
882,Male,49,Returning,Business
883,Female,15,Returning,Business
884,Male,39,Returning,Business
885,Female,45,Returning,Business
886,Male,47,Returning,Business
887,Female,41,Returning,Business
888,Male,42,Returning,Business
889,Male,17,First-time,Business
890,Female,55,Returning,Business
891,Female,51,Returning,Business
892,Female,24,First-time,Business
893,Female,33,First-time,Business
894,Male,26,First-time,Business
895,Male,53,Returning,Business
896,Female,39,Returning,Business
897,Female,16,First-time,Business
898,Female,40,First-time,Business
899,Male,36,Returning,Business
900,Male,40,Returning,Business
901,Female,18,First-time,Business
902,Male,47,First-time,Business
903,Female,24,First-time,Business
904,Female,51,Returning,Business
905,Female,39,First-time,Business
906,Female,42,Returning,Business
907,Male,18,First-time,Business
908,Female,37,First-time,Business
909,Female,60,Returning,Business
910,Male,35,Returning,Business
911,Female,23,First-time,Business
912,Female,47,Returning,Business
913,Female,41,Returning,Business
914,Male,77,First-time,Business
915,Female,24,First-time,Business
916,Female,61,First-time,Business
917,Female,56,Returning,Business
918,Male,32,Returning,Business
919,Male,25,First-time,Business
920,Male,49,Returning,Business
921,Male,55,Returning,Business
922,Female,60,Returning,Business
923,Male,43,Returning,Business
924,Female,41,Returning,Business
925,Female,45,First-time,Business
926,Female,25,Returning,Business
927,Male,39,First-time,Business
928,Male,62,First-time,Business
929,Male,34,Returning,Business
930,Female,26,First-time,Business
931,Female,57,Returning,Business
932,Female,61,First-time,Business
933,Female,57,Returning,Business
934,Female,42,First-time,Business
935,Male,24,Returning,Business
936,Male,44,Returning,Business
937,Male,61,Returning,Business
938,Female,56,Returning,Business
939,Female,17,First-time,Business
940,Male,39,First-time,Business
941,Female,45,Returning,Business
942,Male,46,Returning,Business
943,Male,57,Returning,Business
944,Female,46,Returning,Business
945,Female,61,Returning,Business
946,Male,56,Returning,Business
947,Female,45,Returning,Business
948,Male,70,Returning,Business
949,Female,78,Returning,Business
950,Male,36,First-time,Business
951,Female,44,Returning,Business
952,Female,57,Returning,Business
953,Male,56,Returning,Business
954,Female,56,Returning,Business
955,Female,35,Returning,Business
956,Female,21,First-time,Business
957,Female,17,Returning,Business
958,Male,56,Returning,Business
959,Female,74,Returning,Business
960,Male,48,Returning,Business
961,Male,33,First-time,Business
962,Male,40,Returning,Business
963,Male,60,Returning,Business
964,Female,44,Returning,Business
965,Male,27,First-time,Business
966,Male,17,Returning,Business
967,Male,43,Returning,Business
968,Male,57,Returning,Business
969,Female,66,First-time,Business
970,Male,57,Returning,Business
971,Female,22,First-time,Business
972,Male,44,Returning,Business
973,Female,42,Returning,Business
974,Female,37,First-time,Business
975,Female,21,First-time,Business
976,Female,54,Returning,Business
977,Male,39,Returning,Business
978,Male,37,First-time,Business
979,Female,59,Returning,Business
980,Male,53,Returning,Business
981,Male,57,Returning,Business
982,Female,30,Returning,Business
983,Female,48,Returning,Business
984,Male,37,Returning,Business
985,Female,25,First-time,Business
986,Male,38,Returning,Business
987,Male,42,Returning,Business
988,Male,25,First-time,Business
989,Female,48,Returning,Business
990,Male,40,Returning,Business
